"name,value,year,lastValue,rank"
"Salah,205,2031,203,1"
"Sterling,198,2030,0,2"
"Mané,186,2031,0,3"
"Hazard,184,2031,0,4"
"Robertson,171,2031,0,5"
"van Dijk,165,2031,0,6"
"Agüero,165,2031,0,7"
"Aubameyang,164,2031,0,8"
"Kane,156,2031,0,9"
"Jiménez,153,2031,0,10"
"Salah,203,2030,0,1"
"Sterling,198,2029,0,2"
"Hazard,182,2030,0,3"
"Mané,173,2030,0,4"
"Robertson,169,2030,0,5"
"Agüero,165,2030,0,6"
"Aubameyang,164,2030,0,7"
"van Dijk,163,2030,0,8"
"Kane,156,2030,0,9"
"Jiménez,153,2030,0,10"
"Salah,198,2029,0,1"
"Sterling,177,2029,0,2"
"Hazard,172,2029,0,3"
"Robertson,168,2029,0,4"
"van Dijk,162,2029,0,5"
"Agüero,160,2029,0,6"
"Mané,159,2029,0,7"
"Aubameyang,157,2029,0,8"
"Pogba,150,2029,0,9"
"Kane,148,2029,0,10"
"Salah ,195,2028,103,1"
"Sterling ,174,2027,0,2"
"Hazard ,166,2028,0,3"
"Robertson ,163,2028,0,4"
"Agüero ,158,2028,0,5"
"Aubameyang ,158,2028,103,5"
"Mané ,156,2028,0,7"
"van Dijk ,154,2028,0,8"
"Pogba ,151,2028,0,9"
"Kane ,141,2028,0,10"
"Salah,192,2027,0,1"
"Sterling,173,2027,0,2"
"Hazard,165,2027,0,3"
"Aubameyang,151,2027,0,4"
"Robertson,150,2027,0,5"
"Agüero,149,2027,0,6"
"Pogba,146,2027,0,7"
"Mané,143,2027,0,8"
"Kane,140,2027,0,9"
"van Dijk,134,2027,0,10"
"Son,134,2027,0,10"
"Salah ,189,2026,0,1"
"Sterling ,173,2026,0,2"
"Hazard ,165,2026,0,3"
"Aubameyang ,150,2026,0,4"
"Agüero ,149,2026,0,5"
"Pogba ,143,2026,0,6"
"Robertson ,142,2026,0,7"
"Mané ,140,2026,0,8"
"Son ,132,2026,0,9"
"Kane ,132,2026,0,10"
"Sané ,130,2026,0,10"
"Salah ,181,2025,0,1"
"Hazard ,163,2025,0,2"
"Sterling ,155,2025,0,3"
"Aubameyang ,150,2025,0,4"
"Robertson ,133,2025,0,5"
"Agüero ,132,2025,0,6"
"Mané ,132,2025,0,7"
"Kane ,132,2025,0,8"
"Sané ,130,2025,0,9"
"Pogba ,127,2025,0,9"
"Rashford ,103,2025,0,1"
